Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Update me on Supply Chain Content,Get updates on DM Content,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Engagement_Score,Visit_Category,High_Engagement_Time,Contact_Restricted
API,Olark Chat,0,0,0,0.0,0,0.0,Page Visited on Website,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,02.Medium,02.Medium,15.0,15.0,0,0,Modified,0.0,Low (1-2),0,0
API,Organic Search,0,0,0,5.0,674,2.5,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Unknown,02.Medium,02.Medium,15.0,15.0,0,0,Email Opened,0.16314316091592818,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,1,2.0,1532,2.0,Email Opened,India,Business Administration,Student,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,14.0,20.0,0,1,Email Opened,0.3465233695766032,Low (1-2),1,0
Landing Page Submission,Direct Traffic,0,0,0,1.0,305,1.0,Other,India,Media and Advertising,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,02.Medium,01.High,13.0,17.0,0,0,Modified,0.07185385372802883,Low (1-2),0,0
Landing Page Submission,Google,0,0,1,2.0,1428,1.0,Converted to Lead,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,0,Modified,0.32007468627574215,Low (1-2),1,0
API,Olark Chat,0,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,01.High,02.Medium,17.0,15.0,0,0,Modified,0.0,Low (1-2),0,0
Landing Page Submission,Google,0,0,1,2.0,1640,2.0,Email Opened,India,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,14.0,20.0,0,0,Modified,0.3702805187187061,Low (1-2),1,0
API,Olark Chat,0,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,02.Medium,02.Medium,15.0,15.0,0,0,Modified,0.0,Low (1-2),0,0
Landing Page Submission,Direct Traffic,0,0,0,2.0,71,2.0,Email Opened,India,IT Projects Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Thane & Outskirts,02.Medium,02.Medium,14.0,14.0,0,1,Email Opened,0.025141935348710533,Low (1-2),0,0
API,Google,0,0,0,4.0,58,4.0,Email Opened,India,Finance Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,02.Medium,02.Medium,13.0,16.0,0,0,Email Opened,0.031806088031341,Medium (3-10),0,0
Landing Page Submission,Organic Search,0,0,1,8.0,1351,8.0,Email Opened,India,Travel and Tourism,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Other Metro Cities,02.Medium,02.Medium,15.0,14.0,0,1,Email Opened,0.3352795759746926,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,1,8.0,1343,2.67,Page Visited on Website,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,0,0,Thane & Outskirts,02.Medium,01.High,14.0,17.0,0,1,Page Visited on Website,0.31448407286363733,Medium (3-10),1,0
API,Organic Search,0,0,1,11.0,1538,11.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Unknown,01.High,02.Medium,16.0,16.0,0,0,Modified,0.3907003540527517,High (11+),1,0
Landing Page Submission,Organic Search,0,0,0,5.0,170,5.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Thane & Outskirts,02.Medium,01.High,14.0,17.0,0,1,Email Opened,0.06120503634801919,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,1,0,0,1.0,481,1.0,Email Bounced,Other,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,01.High,01.High,16.0,17.0,0,0,Other,0.11056920788552993,Low (1-2),1,1
API,Organic Search,0,0,1,6.0,1012,6.0,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Email Opened,0.2511847149770599,Medium (3-10),1,0
API,Other,0,0,0,6.0,973,6.0,Email Link Clicked,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,02.Medium,02.Medium,13.0,13.0,0,0,Modified,0.24260574445352273,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,6.0,1688,3.0,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,0,Page Visited on Website,0.3891725850040852,Medium (3-10),1,0
API,Organic Search,0,0,0,3.0,98,3.0,Page Visited on Website,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Modified,0.03584312739614104,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,1.0,233,1.0,Other,India,Media and Advertising,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Mumbai,02.Medium,01.High,13.0,17.0,0,0,Modified,0.056015754299960197,Low (1-2),0,0
API,Google,0,0,0,4.0,377,1.33,Page Visited on Website,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Unknown,02.Medium,02.Medium,15.0,16.0,0,0,Modified,0.09244195315609746,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,20.0,0,0,Modified,0.22759516477070368,Low (1-2),1,0
Landing Page Submission,Google,0,0,0,4.0,771,4.0,Email Link Clicked,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,02.Medium,01.High,14.0,18.0,0,0,Other,0.188647267089854,Medium (3-10),1,0
API,Google,0,0,1,6.0,1137,1.5,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,14.0,18.0,0,1,Email Opened,0.26260998680158376,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,3.0,1068,3.0,Other,India,Travel and Tourism,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Mumbai,02.Medium,02.Medium,14.0,16.0,0,0,Modified,0.2492175224687323,Medium (3-10),1,0
Landing Page Submission,Organic Search,0,0,1,4.0,1000,2.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Other Cities,03.Low,01.High,11.0,18.0,0,1,Email Opened,0.2318783650723818,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,6.0,1315,6.0,Email Opened,India,Media and Advertising,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,19.0,0,0,Email Opened,0.31783671673684866,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,0,5.0,182,5.0,Email Opened,India,Unknown,Student,Better Career Prospects,0,0,0,0,0,0,0,0,switched off,0,0,Mumbai,02.Medium,01.High,13.0,18.0,0,0,Email Opened,0.06384471958603063,Medium (3-10),0,0
API,Google,0,0,1,3.0,78,3.0,Other,India,International Business,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,01.High,01.High,16.0,18.0,0,0,Other,0.03144365533278863,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,1,7.0,1174,3.5,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,1,Email Opened,0.27908234345211913,Medium (3-10),1,0
API,Google,0,0,0,3.0,88,1.5,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,02.Medium,02.Medium,13.0,15.0,0,0,Modified,0.028286248507321983,Medium (3-10),0,0
API,Other,0,0,0,4.0,223,2.0,Page Visited on Website,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,02.Medium,02.Medium,15.0,13.0,0,0,Modified,0.06095887541114114,Medium (3-10),0,0
API,Organic Search,0,0,0,3.0,74,1.5,Email Opened,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,03.Low,02.Medium,12.0,15.0,0,0,Modified,0.0252066180629753,Medium (3-10),0,0
Landing Page Submission,Organic Search,0,0,1,4.0,16,2.0,Page Visited on Website,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,17.0,0,1,Modified,0.015424339555443822,Medium (3-10),0,0
API,Other,0,0,1,3.0,98,3.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Thane & Outskirts,02.Medium,02.Medium,14.0,15.0,0,0,Modified,0.03584312739614104,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,4.0,1622,4.0,Other,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,03.Low,01.High,12.0,18.0,0,0,Modified,0.37584480338549847,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,5.0,563,5.0,Email Opened,India,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,13.0,20.0,0,0,Email Opened,0.1476546623928938,Medium (3-10),1,0
API,Google,0,0,0,2.0,310,2.0,Email Link Clicked,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Other,0.0777156265057717,Low (1-2),0,0
Landing Page Submission,Google,0,0,1,4.0,25,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Other Cities of Maharashtra,02.Medium,01.High,14.0,19.0,0,0,Email Opened,0.024546959126809542,Medium (3-10),0,0
API,Direct Traffic,0,0,0,3.0,342,3.0,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Email Opened,0.08951668656904029,Medium (3-10),1,0
Landing Page Submission,Organic Search,1,0,0,7.0,38,7.0,Other,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Mumbai,02.Medium,01.High,13.0,18.0,0,1,Other,0.04169233025370289,Medium (3-10),0,1
API,Google,0,0,0,5.0,199,5.0,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Email Opened,0.06758427083988017,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,5.0,222,5.0,Email Opened,India,Finance Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,02.Medium,01.High,13.0,18.0,0,0,Email Opened,0.07264366371273542,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,6.0,275,3.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Mumbai,03.Low,01.High,10.0,18.0,0,1,Email Opened,0.07834988372823833,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,4.0,287,2.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,02.Medium,01.High,13.0,18.0,0,0,Email Opened,0.07503718601386881,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,2.0,547,2.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Already a student,0,0,Mumbai,02.Medium,01.High,15.0,20.0,0,1,Email Opened,0.1298493704564976,Low (1-2),1,0
API,Google,0,0,0,6.0,1225,6.0,Page Visited on Website,India,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Thane & Outskirts,03.Low,02.Medium,12.0,15.0,0,0,Modified,0.2980390924517629,Medium (3-10),1,0
API,Olark Chat,0,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Thane & Outskirts,02.Medium,02.Medium,15.0,16.0,0,0,Modified,0.0,Low (1-2),0,0
Landing Page Submission,Google,0,0,0,5.0,160,5.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Already a student,0,0,Mumbai,01.High,01.High,17.0,18.0,0,0,Email Opened,0.05900530031634299,Medium (3-10),0,0
Landing Page Submission,Organic Search,0,0,0,6.0,394,2.0,Other,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,02.Medium,02.Medium,13.0,15.0,0,1,Modified,0.10095531393375652,Medium (3-10),1,0
API,Google,0,0,0,6.0,286,1.5,Olark Chat Conversation,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,01.High,02.Medium,16.0,15.0,0,0,Modified,0.07541245050593928,Medium (3-10),0,0
API,Organic Search,0,0,0,7.0,96,2.33,Email Opened,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,02.Medium,02.Medium,13.0,15.0,0,0,Email Opened,0.03777222780885341,Medium (3-10),0,0
API,Organic Search,0,0,0,2.0,12,2.0,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,switched off,0,0,Unknown,02.Medium,02.Medium,15.0,15.0,0,0,Email Opened,0.012163492761820962,Low (1-2),0,0
